,Brewery_ID,Name,Type,ABV,IBU,Rating,Rating_Count
0,0,Long Walk,IPA - American,7.0,57.0,3.61,5722
1,0,Kung Fu Robot,IPA - American,7.0,43.0,3.65,4870
2,0,Vitality Light Ale,Blonde Ale,5.0,17.0,3.46,2725
3,0,Sun Eater,Gruit / Ancient Herbed Ale,4.8,,3.49,2588
4,0,Highland Scoundrel,Scotch Ale / Wee Heavy,10.6,20.0,3.84,2420
5,1,Naked Nun,Wheat Beer - Witbier,5.8,,3.6,10949
6,1,Tripel B,Belgian Tripel,9.3,,3.87,10281
7,1,Philosophizer,Farmhouse Ale - Saison,7.8,36.0,3.8,9766
8,1,Hibiscus Saison,Farmhouse Ale - Saison,5.6,33.0,3.65,7332
9,1,Flyin' Monks,Belgian Quadrupel,10.9,,3.95,6320
10,2,Fire Eagle,IPA - American,7.3,65.0,3.7,27388
11,2,Pearl-Snap,Pilsner - German,5.3,45.0,3.55,24024
12,2,Peacemaker,Golden Ale,5.0,15.0,3.49,13802
13,2,Black Thunder,Schwarzbier,5.3,45.0,3.68,9352
14,2,Bloodwork Orange IPA,IPA - American,7.0,72.0,3.74,10104
15,3,Vulcan,IPA - Rye,6.5,45.0,3.7,3179
16,3,Recalcitrant Dockhand,Porter - American,6.3,31.0,3.84,1589
17,3,Waterloo,Sour - Berliner Weisse,3.1,6.0,3.75,1364
18,3,Elba,Wheat Beer - American Pale Wheat,4.4,16.0,3.57,829
19,3,Pneuma,Pale Ale - American,5.4,36.0,3.66,705
20,4,Electric Lederhosen,Lager - Vienna,5.0,15.0,3.71,595
21,4,Propeller Head,IPA - American,6.6,50.0,3.63,602
22,4,Sol Surfer,Pale Ale - American,5.2,31.0,3.61,497
23,4,Pillow Fort,Pale Ale - New England,5.6,37.0,3.76,470
24,4,Lightning Wizard,Wheat Beer - Witbier,4.3,9.0,3.67,477
25,5,Celis White (US Only),Wheat Beer - Witbier,4.9,14.0,3.65,11294
26,5,Citrus Grandis IPA,IPA - New England,5.0,45.0,3.57,5175
27,5,Celis Raspberry,Fruit Beer,4.9,,3.6,4560
28,5,Celis Pale Bock,Bock - Single / Traditional,4.9,12.0,3.53,4510
29,5,Celis Grand Cru,Belgian Tripel,8.6,,3.75,4045
30,6,Blur Texas Hefe,Hefeweizen,4.6,12.0,3.65,7802
31,6,Envy Amber,Red Ale - American Amber / Red,4.8,26.0,3.49,3985
32,6,Lady Bird American IPA,IPA - American,7.2,48.0,3.65,4007
33,6,Alibi Blonde,Blonde Ale,4.3,17.0,3.46,3443
34,6,Tuxedo Tshirt Black IPA,IPA - Black / Cascadian Dark Ale,6.5,41.0,3.63,2558
35,7,Northwestern Pale Ale,Pale Ale - American,5.2,,3.64,277
36,7,Red Planet,Red Ale - American Amber / Red,4.8,,3.55,252
37,7,Hop Gold,Golden Ale,5.2,,3.53,242
38,7,Bombay IPA,IPA - American,6.8,,3.77,261
39,7,Jim Dandy IPA,IPA - American,7.0,70.0,3.82,208
40,8,Lord Zanate IPA,IPA - American,6.9,,3.61,342
41,8,Comtesse De Duval Saison,Farmhouse Ale - Saison,4.6,28.0,3.44,235
42,8,Sculptor Formosa,Porter - Coffee,6.5,,3.78,181
43,8,Dutchess of Oltorf,Roggenbier,4.3,,3.44,189
44,8,Professor Pleasant,Pale Ale - American,5.4,,3.44,171
45,9,Air Racer IPA,IPA - American,7.1,60.0,3.53,1201
46,9,Flying Man Honey Wheat,Wheat Beer - Other,5.2,17.0,3.49,894
47,9,Water Bomber Watermelon Wheat,Wheat Beer - American Pale Wheat,5.2,18.0,3.53,668
48,9,Supersonic Blonde,Blonde Ale,5.5,20.0,3.53,483
49,9,Phantom Works Chipotle Stout,Stout - Other,6.9,,3.68,406
50,10,Dale's Pale Ale,Pale Ale - American,6.5,65.0,3.64,294798
51,10,Pinner,IPA - Session / India Session Ale,4.9,35.0,3.67,176187
52,10,Ten FIDY,Stout - Imperial / Double,10.5,65.0,4.1,158604
53,10,Old Chub,Scotch Ale / Wee Heavy,8.0,30.0,3.74,157232
54,10,Mama's Little Yella Pils,Pilsner - Czech,4.7,35.0,3.44,161674
55,11,Electric Jellyfish,IPA - New England,6.5,,4.1,21121
56,11,Training Bines,IPA - American,7.2,,4.06,4298
57,11,Man O' War,IPA - American,6.5,,3.86,4191
58,11,Bearded Seal,Stout - Irish Dry,6.1,,3.76,2752
59,11,Fully Adrift,IPA - Imperial / Double,10.5,,4.16,2272
60,12,Cream Ale,Cream Ale,6.0,12.0,3.6,770
61,12,Texas Pecan Brown Ale,Brown Ale - American,6.0,24.0,3.7,700
62,12,American IPA,IPA - American,7.0,65.0,3.67,550
63,12,American Amber Ale,Red Ale - American Amber / Red,6.5,41.0,3.64,516
64,12,Wit,Wheat Beer - Witbier,5.9,19.0,3.72,376
65,13,Iron Balls,Stout - Imperial / Double,9.0,45.0,3.78,807
